created_at,entry_id,soil1,soil,temperature,humidity
2024-10-24T20:58:40+07:00,44461,24,41,24.1,95
2024-10-24T20:59:02+07:00,44462,24,41,24.1,95
2024-10-24T20:59:25+07:00,44463,25,41,24.1,95
2024-10-24T20:59:48+07:00,44464,25,42,24.1,95
2024-10-24T21:00:11+07:00,44465,25,42,24.1,95
2024-10-24T21:00:34+07:00,44466,24,41,24.1,95
2024-10-24T21:00:57+07:00,44467,24,41,24.1,95
2024-10-24T21:01:20+07:00,44468,25,43,24.1,96
2024-10-24T21:01:43+07:00,44469,26,42,24.1,96
2024-10-24T21:02:06+07:00,44470,25,41,24.1,96
2024-10-24T21:02:28+07:00,44471,24,41,24.1,96
2024-10-24T21:02:51+07:00,44472,25,43,24.1,96
2024-10-24T21:03:14+07:00,44473,25,41,24.1,96
2024-10-24T21:03:36+07:00,44474,25,41,24.1,96
2024-10-24T21:03:59+07:00,44475,25,40,24.1,96
2024-10-24T21:04:22+07:00,44476,25,43,24.1,95
2024-10-24T21:04:44+07:00,44477,25,41,24.1,95
2024-10-24T21:05:08+07:00,44478,25,41,24.1,95
2024-10-24T21:05:30+07:00,44479,26,41,24.1,95
2024-10-24T21:05:53+07:00,44480,26,40,24.1,95
2024-10-24T21:06:15+07:00,44481,25,41,24.1,95
2024-10-24T21:06:39+07:00,44482,25,42,24.1,95
2024-10-24T21:07:01+07:00,44483,25,40,24.1,95
2024-10-24T21:07:24+07:00,44484,26,40,24.1,95
2024-10-24T21:07:47+07:00,44485,25,42,24.1,94
2024-10-24T21:08:09+07:00,44486,25,41,24.1,94
2024-10-24T21:08:32+07:00,44487,25,40,24.1,94
2024-10-24T21:08:56+07:00,44488,26,42,24.1,94
2024-10-24T21:09:18+07:00,44489,26,41,24.1,94
2024-10-24T21:09:40+07:00,44490,25,40,24.1,94
2024-10-24T21:10:04+07:00,44491,24,42,24.1,94
2024-10-24T21:10:28+07:00,44492,25,40,24.1,95
2024-10-24T21:10:51+07:00,44493,25,40,24.1,95
2024-10-24T21:11:14+07:00,44494,25,41,24.1,95
2024-10-24T21:11:37+07:00,44495,24,40,24.1,95
2024-10-24T21:12:00+07:00,44496,25,41,24.1,95
2024-10-24T21:12:23+07:00,44497,25,40,24.1,95
2024-10-24T21:12:46+07:00,44498,24,41,24.1,95
2024-10-24T21:13:09+07:00,44499,26,40,24.1,95
2024-10-24T21:13:33+07:00,44500,25,40,24.1,95
2024-10-24T21:13:55+07:00,44501,25,41,24.1,95
2024-10-24T21:14:19+07:00,44502,25,42,24.1,95
2024-10-24T21:14:42+07:00,44503,25,41,24.1,95
2024-10-24T21:15:05+07:00,44504,24,41,24.1,95
2024-10-24T21:15:28+07:00,44505,26,40,24.1,96
2024-10-24T21:15:51+07:00,44506,26,41,24.1,96
2024-10-24T21:16:16+07:00,44507,25,42,24.1,96
2024-10-24T21:16:39+07:00,44508,25,41,24.1,96
2024-10-24T21:17:02+07:00,44509,26,40,24.1,96
2024-10-24T21:17:26+07:00,44510,25,41,24.1,96
2024-10-24T21:17:49+07:00,44511,25,40,24.1,96
2024-10-24T21:18:13+07:00,44512,25,40,24.1,96
2024-10-24T21:18:36+07:00,44513,25,40,24.1,96
2024-10-24T21:19:00+07:00,44514,25,41,24.1,96
2024-10-24T21:19:22+07:00,44515,25,41,24.1,96
2024-10-24T21:19:46+07:00,44516,25,40,24.1,96
2024-10-24T21:20:09+07:00,44517,25,41,24.1,96
2024-10-24T21:20:33+07:00,44518,24,39,24.1,96
2024-10-24T21:20:56+07:00,44519,25,40,24.1,96
2024-10-24T21:21:19+07:00,44520,24,42,24.1,96
2024-10-24T21:21:42+07:00,44521,25,41,24.1,96
2024-10-24T21:22:06+07:00,44522,25,40,24.1,96
2024-10-24T21:22:30+07:00,44523,25,41,24.1,96
2024-10-24T21:22:53+07:00,44524,25,40,24.1,96
2024-10-24T21:23:16+07:00,44525,25,40,24.1,96
2024-10-24T21:23:39+07:00,44526,25,40,24.1,96
2024-10-24T21:24:01+07:00,44527,24,41,24.1,96
2024-10-24T21:24:24+07:00,44528,25,41,24.1,96
2024-10-24T21:24:48+07:00,44529,25,41,24.1,96
2024-10-24T21:25:11+07:00,44530,26,40,24.1,96
2024-10-24T21:25:34+07:00,44531,26,40,24.1,96
2024-10-24T21:25:57+07:00,44532,25,41,24.1,96
2024-10-24T21:26:21+07:00,44533,24,41,24.1,96
2024-10-24T21:26:45+07:00,44534,26,41,24.1,96
2024-10-24T21:27:08+07:00,44535,25,40,24.1,96
2024-10-24T21:27:31+07:00,44536,25,39,24.1,96
2024-10-24T21:27:55+07:00,44537,25,40,24.1,96
2024-10-24T21:28:18+07:00,44538,25,40,24.1,96
2024-10-24T21:28:43+07:00,44539,25,40,24.1,96
2024-10-24T21:29:06+07:00,44540,25,41,24.1,96
2024-10-24T21:29:29+07:00,44541,25,41,24.1,96
2024-10-24T21:29:53+07:00,44542,25,42,24.1,96
2024-10-24T21:30:17+07:00,44543,25,42,24.1,96
2024-10-24T21:30:40+07:00,44544,25,41,24.1,96
2024-10-24T21:31:04+07:00,44545,25,41,24.1,96
2024-10-24T21:31:27+07:00,44546,24,41,24.1,96
2024-10-24T21:31:49+07:00,44547,25,42,24.1,96
2024-10-24T21:32:13+07:00,44548,26,41,24.1,96
2024-10-24T21:32:37+07:00,44549,26,40,24.1,96
2024-10-24T21:33:00+07:00,44550,25,40,24.1,97
2024-10-24T21:33:23+07:00,44551,25,41,24.1,97
2024-10-24T21:33:46+07:00,44552,25,41,24.1,97
2024-10-24T21:34:11+07:00,44553,25,40,24.1,96
2024-10-24T21:34:35+07:00,44554,24,42,24.1,96
2024-10-24T21:34:58+07:00,44555,24,41,24.1,96
2024-10-24T21:35:22+07:00,44556,25,43,24.1,96
2024-10-24T21:35:45+07:00,44557,25,40,24.1,96
2024-10-24T21:36:10+07:00,44558,24,41,24.1,96
